Continente,Gran Región / Subcontinente,Región Específica / Área Cultural,Cultura / Sociedad,Cronología Aprox. (10k aC - 750 dC),Subsistencia Principal,Patrón Asentamiento,Arquitectura Notable,Tecnologías Clave,Evidencia Jerarquía Social,Redes Intercambio (Alcance),Sistemas Registro / Escritura,
África,África del Norte,Magreb / Costa Mediterránea,Cultura Capsiense,ca. 10.000 - 6000 a.C.,Caza-Recolección Compleja (Énfasis caracoles),"Semi-Sedentario? (Concheros/""escargotières"")","Abrigos rocosos, posibles estructuras ligeras","Microlitos, Hueso trabajado, Arte mueble, Huevos avestruz",Posiblemente Egalitaria,Regional (Ornamentos),Arte mueble/geométrico,
África,África del Norte,Magreb / Costa Mediterránea,Neolítico Magrebí / Líbico-Bereberes T.,ca. 6000 - ~1000 a.C.,"Pastoralismo (Ovino/Caprino), Caza-Rec., ¿Agric. tardía?","Aldeas dispersas, ¿Sedentarismo creciente?","Estructuras simples, ¿Megalitismo tardío?","Cerámica, Piedra pulida, ¿Tejido?","Limitada, ¿Tribal/Linajes?",Regional,[No Evidencia Clara],
África,África del Norte,Magreb / Costa Mediterránea,Civilización Púnica (centro: Cartago),ca. 800 - 146 a.C.,"Agricultura Intensiva (Tríada Med.), Comercio Marítimo","Ciudades costeras (Cartago, Utica), Puertos, Granjas","Urbanismo (Murallas, Templos, Puertos, Tophets)","Navegación, Metalurgia (Hierro), Alfabeto, Moneda","Estado (Oligarquía), Clases","Mediterráneo, W. Asia",Alfabeto Fenicio/Púnico,
África,África del Norte,Magreb / Costa Mediterránea,África Romana (Provincias),146 a.C. - 429 d.C.,"Agricultura Extensiva (Granos, Olivo), Comercio","Ciudades Grandes (Volubilis), Villas, Calzadas","Urbanismo Romano Monumental (Foros, Termas, Teatros)","Ingeniería Romana (Acueductos), Logística, Latín","Administración Provincial, Élites",Integrado en Imp. Romano,"Alfabeto Latino, Administración",
África,África del Norte,Magreb / Costa Mediterránea,Reino Vándalo,429 - 534 d.C.,"Base agrícola romana, Control marítimo",Ocupación ciudades romanas (Cartago=Capital),Reutilización romana [Búsqueda Específica Fallida],¿Tecnología naval? [Búsqueda Específica Fallida],"Reino Germánico, Élite Vándala",Mediterráneo (Control/Disrupción),¿Uso continuado Latín?,
África,África del Norte,Magreb / Costa Mediterránea,Imperio Bizantino (Exarcado de África),ca. 590 - 698 d.C.,Intento restauración economía romana,Ciudades refortificadas (Cartago=Capital),"Fortificaciones bizantinas, Basílicas",Tecnología militar/administrativa bizantina,Administración Imperial (Exarca),Reintegrado en Imp. Bizantino,Latín y Griego (Adm./Relig.),
África,África del Norte,Desierto del Sahara (y sus oasis),"Culturas del ""Sahara Verde"" (Neolítico)",ca. 10.000 - 2500 a.C.,"Caza-Rec.-Pesca, Pastoralismo Bovino Temprano","Campamentos lacustres/fluviales, Abrigos rocosos",Arte Rupestre (extensivo),"Cerámica temprana (Wavy Line), Arpones hueso, ¿Domesticación bovina?",Probablemente Egalitaria,Regional,Arte Rupestre (narrativo/simb.),
África,África del Norte,Desierto del Sahara (y sus oasis),Pastoralistas Saharianos (Post-Húmedo),ca. 2500 a.C. - (solapa con otros),"Pastoralismo (Bovino, Ovino/Caprino), Comercio","Móvil/Transhumante, Dependencia de oasis","Campamentos temporales, Arte rupestre continua","Uso Caballo/Carro (¿desde ~2000 aC?), Camello (¿tardío?)",Tribal / Linajes,Transahariano Incipiente?,Arte Rupestre,
África,África del Norte,Desierto del Sahara (y sus oasis),Reino Garamante,ca. 500 a.C. - 600 d.C.,"Agricultura Oasis (irrigación Foggara), Comercio",Ciudades/Aldeas fortificadas en oasis (Fezzan),"Urbanismo, Tumbas elaboradas, Sistemas Foggara","Ingeniería Hidráulica (Foggara), ¿Metalurgia?",Estado/Jefatura Compleja,"Transahariano, con Roma",¿Escritura Líbico-Bereber?,
África,Valle del Nilo,Alto y Bajo Egipto,"Culturas Neolíticas y Predinásticas (Fayum, Badari, Naqada)",ca. 8000 - 3100 a.C.,"Agricultura Incipiente/Plena (Trigo, Cebada), Ganadería","Aldeas Sedentarias Crecientes, Proto-ciudades (Naqada III)","Viviendas de adobe/vegetal, Primeros templos?, Tumbas","Cerámica, Piedra pulida, Cobre Temprano, Irrigación Incipiente",Creciente (Jefaturas en Naqada II/III),"Regional (Alto/Bajo Egipto, Levante?)",Proto-jeroglíficos (Naqada III),
